epoch,step,validation_loss_epoch,validation_loss_step,validation_sam_epoch,validation_sam_step
,0,,0.00030836393125355244,,0.14488685131072998
,1,,0.00032818634645082057,,0.16547077894210815
,2,,0.001378035289235413,,0.16199465095996857
,3,,0.0010209162719547749,,0.14858347177505493
,4,,0.0012290618615224957,,0.19535709917545319
,5,,0.0014129062183201313,,0.18512506783008575
,6,,0.001437526079826057,,0.18923211097717285
,7,,0.0009961766190826893,,0.2391057014465332
,8,,0.0012962475884705782,,0.19646625220775604
,9,,0.0014021368697285652,,0.16734394431114197
,10,,0.0014252102700993419,,0.20347169041633606
,11,,0.0015216860920190811,,0.1863766610622406
,12,,0.0011073655914515257,,0.20442244410514832
,13,,0.00110524520277977,,0.19038918614387512
,14,,0.0009876862168312073,,0.19088320434093475
,15,,0.0012101815082132816,,0.21577343344688416
,16,,0.0011347694089636207,,0.19286289811134338
,17,,0.0008166790357790887,,0.19268682599067688
,18,,0.0012647864641621709,,0.2048799991607666
,19,,0.0012611837591975927,,0.2184288203716278
0,0,0.0011322174686938524,,0.18968704342842102,
