epoch,step,validation_loss_epoch,validation_loss_step
,0,,0.00030836393125355244
,1,,0.00032818634645082057
,2,,0.001378035289235413
,3,,0.0010209162719547749
,4,,0.0012290618615224957
,5,,0.0014129062183201313
,6,,0.001437526079826057
,7,,0.0009961766190826893
,8,,0.0012962475884705782
,9,,0.0014021368697285652
,10,,0.0014252102700993419
,11,,0.0015216860920190811
,12,,0.0011073655914515257
,13,,0.00110524520277977
,14,,0.0009876862168312073
,15,,0.0012101815082132816
,16,,0.0011347694089636207
,17,,0.0008166790357790887
,18,,0.0012647864641621709
,19,,0.0012611837591975927
0,0,0.0011322174686938524,
