SAM,ERGAS
3.330100051703766,7.045822668979956
4.213515539168315,6.736392189069424
6.857624337533838,8.291357311846332
6.405122918086359,7.190358683540167
7.529509340181241,8.560888873672065
7.408034451506956,8.664718693958608
7.370448130018246,8.943842775053442
7.824110434493618,8.471504201682336
8.10713729288703,8.586802093473276
7.077531056628204,8.253611585323487
8.444759601524913,9.21763358345635
7.750316235185817,8.732166539146174
8.024285582571487,8.620180443491803
8.142250439216962,8.151731320978199
7.625084815406622,7.669846393132085
8.478704362166857,8.99341958384336
8.264095095390344,8.391902072391055
7.017974891807891,7.128971321753981
8.851938326434762,8.759503202362422
8.715470951070436,9.412249023594631
