epoch,step,validation_ergas_epoch,validation_ergas_step,validation_loss_epoch,validation_loss_step,validation_sam_epoch,validation_sam_step
,0,,161.03219604492188,,0.00030836393125355244,,8.30140495300293
,1,,157.3773651123047,,0.00032818634645082057,,9.480777740478516
,2,,141.90003967285156,,0.001378035289235413,,9.281609535217285
,3,,121.84054565429688,,0.0010209162719547749,,8.513205528259277
,4,,154.5032501220703,,0.0012290618615224957,,11.193137168884277
,5,,150.53402709960938,,0.0014129062183201313,,10.606884956359863
,6,,157.9404754638672,,0.001437526079826057,,10.842201232910156
,7,,170.11302185058594,,0.0009961766190826893,,13.699748039245605
,8,,152.86061096191406,,0.0012962475884705782,,11.25668716430664
,9,,142.30506896972656,,0.0014021368697285652,,9.588101387023926
,10,,160.61769104003906,,0.0014252102700993419,,11.658069610595703
,11,,152.96104431152344,,0.0015216860920190811,,10.678596496582031
,12,,158.8637237548828,,0.0011073655914515257,,11.712543487548828
,13,,144.41482543945312,,0.00110524520277977,,10.908496856689453
,14,,139.7592010498047,,0.0009876862168312073,,10.93680191040039
,15,,162.16580200195312,,0.0012101815082132816,,12.362907409667969
,16,,149.05389404296875,,0.0011347694089636207,,11.050230026245117
,17,,135.3617401123047,,0.0008166790357790887,,11.040142059326172
,18,,153.785400390625,,0.0012647864641621709,,11.73875904083252
,19,,170.3914337158203,,0.0012611837591975927,,12.515049934387207
0,0,151.88906860351562,,0.0011322174686938524,,10.868268013000488,
