epoch,step,validation_ergas_epoch,validation_ergas_step,validation_loss_epoch,validation_loss_step,validation_sam_epoch,validation_sam_step
,0,,10.064512252807617,,0.00030836393125355244,,0.14488685131072998
,1,,9.836085319519043,,0.00032818634645082057,,0.16547077894210815
,2,,8.868752479553223,,0.001378035289235413,,0.16199465095996857
,3,,7.615034103393555,,0.0010209162719547749,,0.14858347177505493
,4,,9.656453132629395,,0.0012290618615224957,,0.19535709917545319
,5,,9.408376693725586,,0.0014129062183201313,,0.18512506783008575
,6,,9.8712797164917,,0.001437526079826057,,0.18923211097717285
,7,,10.632063865661621,,0.0009961766190826893,,0.2391057014465332
,8,,9.553788185119629,,0.0012962475884705782,,0.19646625220775604
,9,,8.89406681060791,,0.0014021368697285652,,0.16734394431114197
,10,,10.038605690002441,,0.0014252102700993419,,0.20347169041633606
,11,,9.560065269470215,,0.0015216860920190811,,0.1863766610622406
,12,,9.928982734680176,,0.0011073655914515257,,0.20442244410514832
,13,,9.02592658996582,,0.00110524520277977,,0.19038918614387512
,14,,8.734950065612793,,0.0009876862168312073,,0.19088320434093475
,15,,10.13536262512207,,0.0012101815082132816,,0.21577343344688416
,16,,9.315868377685547,,0.0011347694089636207,,0.19286289811134338
,17,,8.460108757019043,,0.0008166790357790887,,0.19268682599067688
,18,,9.611587524414062,,0.0012647864641621709,,0.2048799991607666
,19,,10.64946460723877,,0.0012611837591975927,,0.2184288203716278
0,0,9.493066787719727,,0.0011322174686938524,,0.18968704342842102,
