epoch,step,validation_ergas_epoch,validation_ergas_step,validation_loss_epoch,validation_loss_step,validation_sam_epoch,validation_sam_step
,0,,161.03219604492188,,0.00030836393125355244,,0.14488685131072998
,1,,157.3773651123047,,0.00032818634645082057,,0.16547077894210815
,2,,141.90003967285156,,0.001378035289235413,,0.16199465095996857
,3,,121.84054565429688,,0.0010209162719547749,,0.14858347177505493
,4,,154.5032501220703,,0.0012290618615224957,,0.19535709917545319
,5,,150.53402709960938,,0.0014129062183201313,,0.18512506783008575
,6,,157.9404754638672,,0.001437526079826057,,0.18923211097717285
,7,,170.11302185058594,,0.0009961766190826893,,0.2391057014465332
,8,,152.86061096191406,,0.0012962475884705782,,0.19646625220775604
,9,,142.30506896972656,,0.0014021368697285652,,0.16734394431114197
,10,,160.61769104003906,,0.0014252102700993419,,0.20347169041633606
,11,,152.96104431152344,,0.0015216860920190811,,0.1863766610622406
,12,,158.8637237548828,,0.0011073655914515257,,0.20442244410514832
,13,,144.41482543945312,,0.00110524520277977,,0.19038918614387512
,14,,139.7592010498047,,0.0009876862168312073,,0.19088320434093475
,15,,162.16580200195312,,0.0012101815082132816,,0.21577343344688416
,16,,149.05389404296875,,0.0011347694089636207,,0.19286289811134338
,17,,135.3617401123047,,0.0008166790357790887,,0.19268682599067688
,18,,153.785400390625,,0.0012647864641621709,,0.2048799991607666
,19,,170.3914337158203,,0.0012611837591975927,,0.2184288203716278
0,0,151.88906860351562,,0.0011322174686938524,,0.18968704342842102,
